Article Name,Topic_0,Topic_2,Topic_5,Topic_1,Topic_4,Topic_3
Supply chain management A case study of issues for BioAg,0.5377883315086365,0.13831889629364014,0.22009357810020447,,,
Changing governance of supply chains in the building industry A multiple case study,0.3336150646209717,0.11415021866559982,0.498567670583725,,,
Upstream volatility in the supply chain The machine tool industry as a case study,0.2057669758796692,0.726654589176178,,,,
Amplification in service supply chains An exploratory case study from the telecom industry,0.25766363739967346,0.6239166855812073,,,,
Evaluating the integration of supply chain information systems A case study,0.4396049678325653,,0.5164045691490173,,,
Concurrent trajectory and vehicle optimization A case study of earth-moon supply chain logistics,,0.14131543040275574,0.17378054559230804,0.546769917011261,0.1308296173810959,
Controlling inventories in a supply chain A case study,,0.6372109651565552,,0.3465838134288788,,
Relationships within the supply chain A case study,0.5230319499969482,,,,,0.38659074902534485
Case-study How to implement collaborative software supply-chains Lessons learned from the task-initiative,0.45091962814331055,,0.42094019055366516,,,
Modularity in supply chains A multiple case study in the construction industry,0.19892555475234985,0.13461320102214813,0.5852715969085693,,,
A case study using modeling & simulation to predict logistics supply chain issues,,0.7217652201652527,,,,
Applying advanced planning systems for supply chain planning Three case studies,0.205118790268898,0.3290446698665619,,0.33080971240997314,,
Minimizing product shrinkage using radio frequency identification A case study on a major Australian retailer,,0.46520039439201355,0.2790515720844269,,,0.14524520933628082
Assessing the rigor of case study research in supply chain management,0.5705206394195557,,0.2768898010253906,,,
"Optimisation of fresh-food supply chains in uncertain environments, Part II A case study",,0.19225259125232697,,0.3639686107635498,0.22020407021045685,0.20106664299964905
Supply chain management for servitised products A multi-industry case study,0.2991412580013275,0.4543847441673279,0.20281857252120972,,,
Supply chain system integration in retailing A case study of LianHua,0.20951461791992188,0.30409732460975647,0.3654416501522064,,,
Transforming supply chains in digital content delivery A case study in apple,0.30323880910873413,0.30872440338134766,0.22974053025245667,,,0.15591108798980713
Assessment of supply chain energy efficiency potentials A U.S. case study,,,,,0.7570887804031372,
Managing functional biases in organizational forecasts A case study in supply chain planning,0.3802742063999176,0.3474535644054413,0.25856903195381165,,,
The effect of institutional innovations on food chain governance A case study on the shifting role,0.29587677121162415,,0.38755905628204346,,,0.3045446574687958
Case study Optimizing order fulfillment in a global retail supply chain,0.1780376434326172,0.7286414504051208,,,,
Coordination in supply chains From case studies to reference models,0.6347733736038208,0.20170937478542328,0.12456271797418594,,,
Study on the sustainable competitive advantages of the managing skills,0.7626643180847168,,,,,
The influence of power in supply chain innovation A case study of the Dutch wheat chain,0.6369868516921997,,,,,0.3326531946659088
A case study of a leather upholstery company,,0.1383817344903946,0.12833237648010254,0.2893718183040619,0.3911741077899933,
A case study of the sugar cane industry in argentina,,,,0.5248978734016418,0.39849817752838135,
An automotive manufacturing case study,0.1748083382844925,0.4749516248703003,0.3089730441570282,,,
An exploratory study of long supply chain competition Selected cases in the South African aerospace sector,0.6408058404922485,0.32913845777511597,,,,
An ontological approach for strategic alignment A supply chain operations reference case study,0.4603939950466156,0.22336329519748688,0.22404387593269348,,,
An RFID application in the food supply chain A case study of convenience stores in Taiwan,,,0.46830761432647705,0.12008194625377655,,0.2844044268131256
Optimization of biodiesel supply chains based on small farmers A case study in Brazil,,,,0.43426644802093506,0.13740955293178558,0.3733339011669159
Organic supply chain collaboration A case study in eight EU countries,0.6598791480064392,0.15304937958717346,,,,0.14788585901260376
The impacts of product design changes on supply chain risk A case study,0.46427032351493835,0.4456402361392975,,,,
A case study of an edible vegetable oils manufacturer,,,,0.7603386640548706,,
Customer Enquiry Management in global supply chains A comparative multi-case study analysis,0.6264628171920776,0.2951265871524811,,,,
Indonesian construction supply chains cost structure and factor A case study of two projects,0.371858149766922,0.17527833580970764,0.3794969618320465,,,
Innovation and sustainability in the supply chain of a cosmetics company A case study,0.7741023302078247,,,,0.1151619404554367,
The investigation of supply chain's reliability measure a case study,0.11966028064489365,0.8412259221076965,,,,
Two Case Studies in the British-South African Fresh Fruit Supply Chain,0.6961105465888977,,,,,0.26245754957199097
A case study from cable industry,,0.5720621347427368,,0.3720093071460724,,
A case study from the automotive industry,,0.4490417242050171,0.15088880062103271,0.19537200033664703,0.12144036591053009,
A case study from the Peruvian commercial charcoal market,0.1056443378329277,,,,0.21721705794334412,0.5347228050231934
A case study of sensor data collection and analysis in smart city,,0.22843199968338013,0.313658207654953,0.1645931452512741,,0.28847768902778625
A case study of Tehran,,,,0.7599964141845703,,0.1938130408525467
case study (Mashhad Behrouz Company),,0.4260292649269104,,0.5432900190353394,,
Evaluation of cost-effectiveness criteria in supply chain management Case study,,0.6681755781173706,,0.2562798261642456,,
Exploring the impact of ICT in CPFR A case study of an APS system in a Norwegian pharmacy supply chain,0.345783531665802,0.42404770851135254,0.22958603501319885,,,
Managing the innovation adoption of supply chain finance Empirical evidence from six european case studies,0.8196235299110413,,0.12707051634788513,,,
Petrochemical supply chain case study Shazand petrochemical complex,0.12354696542024612,,,,0.7162797451019287,
Quality control and supply chain management A contextual perspective and a case study,0.6237438917160034,0.108211450278759,,,,0.20312641561031342
"Revenue sharing in dairy industry supply chain a case study of Hohhot, China",0.10160505771636963,,0.17033827304840088,0.26148292422294617,,0.43224385380744934
Supply chain of human organs A case study in hospital complex in sorocaba,0.23833027482032776,0.45497339963912964,,0.10702858120203018,,
Total Cost of Ownership for scm A case study in an OEM of the automotive industry,0.3931122124195099,0.4051605761051178,,,,
Towards a distributed framework for transportation planning A food supply chain case study,,0.5188376307487488,,0.2632367014884949,,
A case study of protein products manufacturing company,0.1945936679840088,0.5301014184951782,,0.17362092435359955,,
A discrete-event simulation model and a case study of an FMCG manufacturer,0.20760244131088257,0.4471721649169922,,0.20988690853118896,0.13310660421848297,
A review of urban consolidation centres in the supply chain based on a case study approach,,0.362273633480072,,,0.3175387382507324,0.18485741317272186
Building the capacity of Sierra Leoneans in supply chain (a case study),0.33540478348731995,0.12995770573616028,0.3407307267189026,0.1032465472817421,,
Case studies in health supply chain workforce management,0.5984895825386047,0.15605933964252472,0.23228998482227325,,,
Design jeans for recycling A supply chain case study in the Netherlands,0.4926617741584778,,0.27759334444999695,,0.2028234750032425,
Evidences from an embedded single case study,0.6883752346038818,,0.22425803542137146,,,
Governmentality A case study of embedding sustainability in a supply chain,0.6731181144714355,,0.11600170284509659,,,0.18915773928165436
LCA for assessing environmental A furniture case study,,,,,0.7746906280517578,
Managing value in supply chains Case studies on the sourcing hub concept,0.5429585576057434,0.21028849482536316,0.18977919220924377,,,
Methodology for Supply Chain Integration A Case Study in the Artisan Industry of Footwear,0.14948539435863495,0.5762230753898621,,0.24735331535339355,,
Simulation modelling and analysis of network design A case study of battery industry,,0.32424119114875793,,0.10331026464700699,0.4493452310562134,
The effects of some risk factors in the supply chains performance A case of study,0.3067235052585602,0.6634576320648193,,,,
Applying lean thinking in the food supply chains A case study,0.5353724956512451,0.262386292219162,,,,0.10005557537078857
Atmospheric Emissions from Forest Biomass Residues to Energy Supply Chain A Case Study in Portugal,,,,0.12629173696041107,0.6764493584632874,0.1199985221028328
Case study analysis on supplier commitment to added value agri-food supply chains in New Zealand,0.630473256111145,,,,,0.31469258666038513
Decision support system for vendor managed inventory supply chain A case study,,0.42867913842201233,,0.4405811131000519,,
Designing a performance measurement system for supply chain using balanced scorecard,0.5709081292152405,0.15989354252815247,,0.2470250129699707,,
Detecting constraints in supply chain reengineering projects Case study of data,0.16820037364959717,0.40101149678230286,0.40198251605033875,,,
Discussing and evaluating green supply chain suppliers A case study of the printed circuit board,0.5250211358070374,0.26457908749580383,,,0.1893250197172165,
Enterprise web portals for supply chain coordination A case study,0.507000744342804,0.11060690879821777,0.38173219561576843,,,
Focus forecasting in supply chain case study of fast moving consumer goods company in Serbia,,0.866939127445221,,,,
Industrial ecology A case study of a large UK distributor,0.6059940457344055,,,,0.3043821454048157,
Life cycle assessment in the food supply chain a case study,0.21447189152240753,,,,0.39958199858665466,0.25657960772514343
Managing Quality Risk in a Frozen Shrimp Supply Chain A Case Study,,0.8661132454872131,,,,
Protecting workers through supply chains Lessons from two construction case studies,0.5892074108123779,,0.3131091892719269,,,
Supply chain scheduling A motorcycle assembly case study,,0.6553459167480469,,0.18249110877513885,,
Tactical supply chain planning under a carbon tax policy scheme A case study,0.2407377064228058,,,0.4592120945453644,0.21603044867515564,
The green supplier selection as a key element in a supply chain A review of cases studies,0.5181390047073364,0.24048078060150146,,,0.17402151226997375,
The responsiveness of food retail supply chains A Norwegian case study,0.13395312428474426,0.6174517273902893,,,,0.13094602525234222
Understanding transferable supply chain lessons and practices to a high-tech industry,0.35077428817749023,0.22266429662704468,0.10267072170972824,,0.17227353155612946,0.13727474212646484
A case study of kanban implementation within the pharmaceutical supply chain,0.49664536118507385,0.3778587877750397,,,,
A framework for technological learning in the supply chain A case study on CdTe photovoltaics,0.17560364305973053,,0.2081158459186554,0.1523476243019104,0.3955765664577484,
A systems approach to improve performance in supply chain Case study in the aeronautical industry,0.6925057768821716,0.1894712597131729,0.109133280813694,,,
A way for reducing drug supply chain cost for a hospital district A case study,,0.8473414182662964,,0.10225234925746918,,
An Application of Analytic Network Process to Evaluate Green Supply Chain Management Strategies,0.528542160987854,0.372795969247818,,,,
Eco-efficient supply chain networks Development of a design framework and application,0.258015513420105,0.1400999128818512,,0.3312161862850189,0.22560805082321167,
Environmental capabilities of suppliers in construction projects A Case Study in Korea,0.6926758289337158,0.13692325353622437,0.1131136566400528,,,
Forecast-based analysis for regional water supply and demand relationship by hybrid Markov chain models,,0.2782801687717438,,0.3919805884361267,0.25717732310295105,
Fuzzy multi-objective supply chain master planning in a wood and paper industry A case study,,0.21416549384593964,,0.7214097380638123,,
Green component procurement collaboration for improving supply chain management,0.5548182725906372,0.4078291356563568,,,,
Green supply chain management for construction waste Case study for Turkey,0.1827818751335144,,,,0.5922241806983948,0.10312353074550629
Implementing commercial information exchange a construction supply chain case study,0.3502700626850128,0.1102941483259201,0.5242551565170288,,,
Investigating Organizational Transformation in Automotive A Case Study on B2B and Extranet,0.6966758966445923,,0.2988470494747162,,,
Investigating the Drivers of Corporate Social Responsibility in the Global Tea Supply Chain,0.8361644148826599,,,,,0.15251001715660095
Resilient logistics to mitigate supply chain uncertainty A case study of an automotive company,0.25211942195892334,0.6697337627410889,,,,
The Analysis of Orders of Perishable Goods Logistic Supply Chain of the Food Industry A Case Study,,0.7049974799156189,,,,0.2299102246761322
The effect of green supply chain management practices on environmental performance and competitive advantage,0.8922773003578186,,,,,
The importance of systems for controlling logistics costs in the supply chain,0.4272697865962982,0.49427229166030884,,,,
To eliminate or absorb supply chain complexity a conceptual model and case study,0.68818199634552,0.2429456114768982,,,,
An_analytical_study_on_logistics_outsourcing_impac,0.14877256751060486,0.7911776900291443,,,,
Assessment_of_efficiency_of_assignment_of_vehicles,,0.3039948642253876,,0.4252265989780426,0.25064972043037415,
A_hybrid_approach_based_on_ANP_ELECTRE_and_SIMANP_,0.14674174785614014,0.8226713538169861,,,,
BjrgumandNetland2016Configurationofsupplychainnetworksinemergentindustries_IJMTM,0.5979416370391846,,0.23312997817993164,,,
CasestudyonsubcontractingarrangementsinthescaffoldingsupplychainofaLiquefiedNaturalGasinfrastructureproject,0.3292718529701233,0.1298757791519165,0.4601832330226898,,,
Comparing linear and circular supply chains A case study from the construction industry,0.16241782903671265,,,,0.7229294776916504,
Green supply chain management strategy selection using analytic network process Case study at PT XYZ,0.5399016737937927,0.3093283772468567,,,0.12995493412017822,
Green supply chain practices and environmental performance in Brazil Survey,0.8634549975395203,,,,,
Green_supply_chain_implementation_in_manufacturing,0.6934866905212402,0.21122606098651886,,,,
How energy price changes can affect production- and supply chain planning  A case study at a pulp company,,,,0.49639469385147095,0.3578281104564667,
Integrating_strategic_and_tactical_decisions_in_li,,,,0.6296300888061523,,0.2999969720840454
Managing-the-pork-supply-chain-through-a-cooperative-The-case-of-jinzhong-food-Co-Ltd-Case-study,0.17542695999145508,,,,,0.760141909122467
Novel Indicators for the Quantification of Resilience in Critical Material Supply Chains,0.21880099177360535,0.3685750961303711,,,0.21071021258831024,0.11207479983568192
Optimal_production-inventory_model_for_forest_prod,,0.2793138325214386,,0.653214693069458,,
Quantifying-postharvest-loss-and-the-implication-of-marketbased-decisions,,,,,0.1147550418972969,0.7203957438468933
Resilient supply chain network design under competition A case study,,0.4648403525352478,,0.4482906460762024,,
Supply chain resilience in a developing country context a case study,0.5133910775184631,0.41963672637939453,,,,
Supply_chain_solutions_to_improve_the_distribution,0.11574943363666534,0.7845662832260132,,,,
Sustainable supply chain management a case study at IKEA,0.7813250422477722,,,,0.1003207117319107,
Sustainablesupplychaindesignwithwaterenvironmentalimpactsandjustice,0.3077252507209778,,0.14176182448863983,0.3748912811279297,0.16451676189899445,
"The Impact of a Values-Based Supply Chain (VBSC) on Farm-Level Viability, Sustainability",0.37359705567359924,,,,,0.5776370763778687
The-application-of-the-triple-bottom-line-approach-to-sustainability-assessment,0.5707538723945618,0.20035621523857117,,,0.13106463849544525,
The-link-between-supply-chain-design-decisionmaking,0.6532196998596191,0.15178270637989044,,0.1356458216905594,,
The-value-of-inventory-accuracy-in-supply-Chain-managementcase-study,,0.5998616814613342,0.24559922516345978,0.1354481279850006,,
Using-the-product-environmental-footprint-for-supply-chain-management,,,,,0.5011931657791138,0.32064691185951233
A bi-objective environmental-economic optimisation of hot-rolled steel coils supply chain A case study,,0.21516497433185577,,0.2613660395145416,0.505373477935791,
A-case-study-of-supply-chain-simulation-for-determining-the-best-stock,,0.7117719054222107,,0.1104285717010498,,0.15347635746002197
A-fuzzy-multiobjective-multiproduct-supplier-selection-and-orderallocation-problem-in-supply-chain,,0.29246488213539124,,0.6570259928703308,,
A-robust-crude-oil-supply-chain-design-under-uncertain-demand-and-market-price,,,,0.7470830678939819,,
A-supplier-selection-model-in-pharmaceutical-supply-chain-using-PCA-ZTOPSIS-and-MILP,,0.6232492923736572,,0.28489238023757935,,
An environmental evaluation of food supply chain using life cycle assessment,,,,,0.5563651919364929,0.31910836696624756
Analysing the critical success factors for implementation of sustainable supply chain managemen,0.9276061058044434,,,,,
Analysis of Agility Performance of Supply Chain A Case Study on Indian Automotive Manufacturer,0.24842792749404907,0.6542370319366455,,,,
"Analysis of milkfish supply chain in the Philippines A case study in Dagupan, Pangasinan",,0.15178370475769043,,,,0.7308208346366882
Applying Sustainable Supply Chain Management Frameworks to Two German Case Studies,0.9785867929458618,,,,,
Assessing-green-and-blue-water-footprints-in-the-supply-chain-of-cocoa-production,,,,0.1333557814359665,0.2727457284927368,0.5254903435707092
Building-sustainable-supply-chains-for-organizations-based-on-QFD-A-case-study_2018_MDPI,0.7287411093711853,0.1807679831981659,,,,
Case-study-analysing-potentials-to-improve-material-efficiency-in-manufacturing-supply-chains,0.3173449635505676,0.17467144131660461,,,0.4455806016921997,
Creating a competitive advantage in the global flight catering supply chain a case study using SCOR model,0.1843796670436859,0.3269646465778351,0.14384229481220245,,,0.2644701302051544
Current-state-mapping-of-the-supply-chain-in-engineering-procurement-construction-EPC,0.1769079715013504,0.36091601848602295,0.3511931002140045,,0.11048239469528198,
Determining the profit margin of patchouli oil supply chain A case study in Indonesia,,0.12942290306091309,,,,0.7007336616516113
"Evaluation of palm oil supply chain's performance, added value, and performance improvement",0.24606451392173767,0.5000016093254089,,,,0.22547094523906708
Factors-affecting-implementation-of-Green-supply-chain-management-in-Tech-Manora-Packing,0.698795735836029,0.10280491411685944,,,0.13708724081516266,
Farmers-opinions-on-chestnut-Castanea-sativa-Mill-supply-chain-development-strategies,0.2077186405658722,0.19421443343162537,,,,0.5439914464950562
House-of-risk-approach-for-assessing-supply-chain-risk-management-strategies,,0.8993179202079773,,,,
How blockchain improves the supply chain Case study alimentary supply chain,,,0.7495919466018677,,,
Impact-of-Business-Interoperability-on-the-Performance-of-Complex-Cooperative,0.40175265073776245,0.282649427652359,0.20951718091964722,,,
Institutional analysis of milkfish supply chain using interpretive structural modelling,0.404369592666626,0.19688667356967926,,,,0.3867998421192169
Measuring agri-food supply chain performance and risk through a new analytical framework,0.3410065174102783,0.4398357570171356,,,,0.2105497419834137
Measuring supply chain performance a lifecycle framework and a case study,0.4302358329296112,0.1977573186159134,0.36213207244873047,,,
Minimization-of-the-environmental-emissions-of-closedloop-supply-chains-A-case-study,,0.4196716845035553,,0.22615528106689453,0.2581649124622345,
Mitigating-traceability-risks-amongst-SMEs-along-the-beef-supply-chain-A-multiple-case-study,,0.18739186227321625,0.4877368211746216,,,0.2658727765083313
Off-to-market-but-which-one-Understanding-the-participation-of-smallscale-farmers-in-short,0.23720404505729675,,,,,0.6562353372573853
Performance measurement of cross-culture supply chain partnership a case study,0.8843264579772949,,,,,
Questioning the sustainable palm oil demand Case study from French-Indonesia supply chain,,0.10401131957769394,,0.15069258213043213,,0.6682670712471008
Selection of warehouse location for a global supply chain A case study,0.21230819821357727,0.398897647857666,,0.3087615966796875,,
Short food supply chains and the issue of sustainability a case study of French fruit producers,0.44399508833885193,,,,,0.46402686834335327
Supply Chain Risk Assessment and Control of Port Enterprises Qingdao port as case study,0.24911929666996002,0.5735079646110535,,0.16601073741912842,,
Supply chain risk management and quality A case study and analysis of Indian automotive industry,0.39185452461242676,0.5760856866836548,,,,
Supply-chain-performance-measurement-A-case-study-about-applicability-of-scorsupsup-model,0.38399600982666016,0.5357544422149658,,,,
Supply-chain-reengineering-A-case-study-of-the-Tonghui-Agricultural-Cooperative-in-Inner,0.20839107036590576,,0.12546753883361816,,,0.623396098613739
Supply-chains-for-iilicit-products-Case-study-of-the-global-opiate-production-networks,,0.18043334782123566,,,0.1436542421579361,0.5522773265838623
Sustainability-tensions-in-supply-chains-A-case-study-of-paradoxes-and-their-management_2018_MDPI,0.8782781362533569,,,,,
The evolution of performance measurement systems in a supply chain A longitudinal case study,0.7402704358100891,,0.15993738174438477,,,
The Impact of Industry 4.0 on Supply Chains in Engineer-to-Order Industries - An Exploratory Case Study,0.49000218510627747,,0.4766039550304413,,,
The Integration of Production-Distribution on Newspapers Supply Chain for Cost Minimization,,0.27630722522735596,,0.6696884036064148,,
The Role of Green Collaborative Strategies in Improving Environmental Sustainability,0.5696969628334045,,,,0.3262951076030731,
The-value-of-supply-chain-coordination-under-moral-hazard-A-case-study-of-the-consumer-product,0.14452533423900604,0.558031439781189,0.18702803552150726,,,
Value creation from circular economy-led closed loop supply chains a case study of fast-moving,0.41812995076179504,,,,0.36986199021339417,
A Composite Indicator for Supply Chain Performance Measurement A Case Study in a Manufacturing,0.3064131438732147,0.5828984975814819,,,,
A comprehensive reverse supply chain model using an interactive fuzzy approach  A case study on,,0.3030446767807007,,0.5162169933319092,0.13152126967906952,
A model for assessing economic and environmental sustainability dimensions of a fashion supply ,0.5894803404808044,,,,0.27081531286239624,
A supply chain maturity model for automotive SMEs A case study,0.7635176181793213,0.1567736566066742,,,,
A survey of model-based system engineering methods to analyse complex supply chains A case stud,0.3536871671676636,0.34874221682548523,0.26641929149627686,,,
A-case-study-on-logistics-services-preferences-for-supply-chain-entities-in-Shandong-Province-C,0.2673555016517639,0.5348531007766724,0.10996272414922714,,,
A-model-for-designing-a-blood-supply-chain-network-to-earthquake-disasters-Case-Study-Tehran-Ci,0.1445135921239853,0.6844774484634399,,0.1666823923587799,,
Advanced risk assessment in reverse supply chain processes A case study in Republic of Serbia,,0.10709043592214584,,0.8776262998580933,,
An Application of Zoning Designated Policy to Locate the Fresh Fruit Bunch Collectors in the Oi,0.14654476940631866,,,,,0.7355021834373474
Analysis of the Effect of Supply Chain on Small and Medium Enterprises Performance in Medan,0.66222083568573,0.17744937539100647,,,,0.10603521019220352
Assessing the leanness of a supply chain using multi-grade fuzzy logic a health-care case study,0.4857932925224304,0.491571843624115,,,,
Assessing variability in carbon footprint throughout the food supply chain a case study of Vale,,,,,0.32726526260375977,0.5055175423622131
Barriers to big data analytics in manufacturing supply chains A case study from Bangladesh,0.6101939678192139,0.29248714447021484,,,,
Demand forecasting in pharmaceutical supply chains A case study,,0.6105901598930359,0.1267981231212616,0.17804454267024994,,
Design-of-a-sustainable-reverse-supply-chain-in-a-remanufacturing-environment-A-case-study,,,,0.513525128364563,0.4017075002193451,
Developing-Smart-Supply-Chain-Management-Systems-Using-Google-Trends-Search-Data-A-Case-Study_2,,0.32630735635757446,0.1820620447397232,0.401090532541275,,
Environmental-impacts-of-reusable-transport-items-A-case-study-of-pallet-pooling-in-a-retailer,,0.4464249014854431,,0.2364351749420166,0.2654912769794464,
Evaluation of supply chain performance with green supply chain management approach (GSCM),0.16409437358379364,0.5464041233062744,,,0.23624293506145477,
Evolution of global manufacturing networks and XKD supply chain A cross case study of six globa,0.473343163728714,0.28402143716812134,,,0.11395388096570969,
Halal Criteria in Supply Chain Operations Reference (SCOR) for Performance Measurement A case S,,0.8082510232925415,,,,0.13929997384548187
How Green Can the Lettuce Be A Case Study on Greening Initiatives in Supply Chains and Sustaina,0.608288586139679,,0.14574767649173737,,,0.12309238314628601
Hybrid Model of IVFRN-BWM and Robust Goal Programming in Agile and Flexible Supply Chain,0.1315242052078247,0.49851617217063904,,0.3651251494884491,,
INNOVATION-CAPABILITY-ABSORPTIVE-CAPACITY-AND-SUPPLY-CHAIN-INTEGRATION-IN-SMES,0.9321149587631226,,,,,
Integration-between-radical-innovation-and-incremental-innovation-to-expedite-supply-chain-perf,0.9498274326324463,,,,,
Joint delivery planning with time windows A case study on supply chain in newspaper industry,,0.48846670985221863,,0.40384480357170105,,
